page,publisher,name,url,nimType,usecase,general,description,dateCreated,lastMonthApiInvocations
3,nvidia,parakeet-ctc-0.6b-zh-cn,https://build.nvidia.com/nvidia/parakeet-ctc-0_6b-zh-cn,Download Available,Speech-to-Text,ASR; Streaming; Mandarin; NVIDIA NIM,Record-setting accuracy and performance for Mandarin English transcriptions.,2025-09-09,267
3,nvidia,parakeet-ctc-0.6b-es,https://build.nvidia.com/nvidia/parakeet-ctc-0_6b-es,Download Available,Speech-to-Text,ASR; Streaming; Spanish; NVIDIA NIM,Accurate and optimized Spanish English transcriptions with punctuation and word timestamps.,2025-09-09,157
3,nvidia,parakeet-ctc-0.6b-vi,https://build.nvidia.com/nvidia/parakeet-ctc-0_6b-vi,Download Available,Speech-to-Text,ASR; Streaming; Vietnamese; NVIDIA NIM,Accurate and optimized Vietnamese-English transcriptions with punctuation and word timestamps.,2025-09-08,77
3,bytedance,seed-oss-36b-instruct,https://build.nvidia.com/bytedance/seed-oss-36b-instruct,Free Endpoint,,thinking budget; reasoning; text-generation,"ByteDance open-source LLM with long-context, reasoning, and agentic intelligence.",2025-09-05,1111703
3,microsoft,TRELLIS,https://build.nvidia.com/microsoft/trellis,Download Available,,text-to-3d; Run-on-RTX; image-to-3d,MSFT TRELLIS is a 3D AI model that generates high-quality 3D assets from text or image inputs.,2025-09-03,3306
3,qwen,qwen3-coder-480b-a35b-instruct,https://build.nvidia.com/qwen/qwen3-coder-480b-a35b-instruct,Partner Endpoint; Free Endpoint,,agentic coding; moe; long context; browser use,"Excels in agentic coding and browser use and supports 256K context, delivering top results.",2025-09-02,3942330
3,nvidia,nvidia-nemotron-nano-9b-v2,https://build.nvidia.com/nvidia/nvidia-nemotron-nano-9b-v2,Partner Endpoint; Download Available,,thinking budget; reasoning,"High‑efficiency LLM with hybrid Transformer‑Mamba design, excelling in reasoning and agentic tasks.",2025-08-18,539484
3,stabilityai,stable-diffusion-3.5-large,https://build.nvidia.com/stabilityai/stable-diffusion-3_5-large,Download Available,Text-to-Image; Image Generation,,Stable Diffusion 3.5 is a popular text-to-image generation model,2025-08-12,0
3,black-forest-labs,FLUX.1-Kontext-dev,https://build.nvidia.com/black-forest-labs/flux_1-kontext-dev,Partner Endpoint; Download Available,Text-to-Image; Image Generation,Run-on-RTX,FLUX.1 Kontext is a multimodal model that enables in-context image generation and editing.,2025-08-12,3282
3,nvidia,nemoretriever-ocr-v1,https://build.nvidia.com/nvidia/nemoretriever-ocr-v1,Download Available,Optical Character Recognition,Table Extraction; nemo retriever; data ingestion; extraction,"Powerful OCR model for fast, accurate real-world image text extraction, layout, and structure analysis.",2025-08-08,2772111
3,openai,gpt-oss-20b,https://build.nvidia.com/openai/gpt-oss-20b,Download Available; Partner Endpoint,,reasoning; text-to-text; chat; math,Smaller Mixture of Experts (MoE) text-only LLM for efficient AI reasoning and math,2025-08-05,12602991
3,openai,gpt-oss-120b,https://build.nvidia.com/openai/gpt-oss-120b,Download Available; Partner Endpoint,,reasoning; text-to-text; chat; math,Mixture of Experts (MoE) reasoning LLM (text-only) designed to fit within 80GB GPU.,2025-08-05,30066031
3,nvidia,parakeet-tdt-0.6b-v2,https://build.nvidia.com/nvidia/parakeet-tdt-0_6b-v2,Download Available,,ASR; English; NVIDIA NIM; NVIDIA Riva; speech-to-text,Accurate and optimized English transcriptions with punctuation and word timestamps,2025-07-30,11419
3,nvidia,llama-3.3-nemotron-super-49b-v1.5,https://build.nvidia.com/nvidia/llama-3_3-nemotron-super-49b-v1_5,Partner Endpoint; Download Available,,math; advanced reasoning; instruction following; function calling,"High efficiency model with leading accuracy for reasoning, tool calling, chat, and instruction following.",2025-07-25,2878268
3,sarvamai,sarvam-m,https://build.nvidia.com/sarvamai/sarvam-m,Partner Endpoint; Download Available,,coding; indic languages; hybrid; reasoning; math; multilingual,"Multilingual, hybrid-reasoning model optimized for Indian language tasks, programming, mathematical reasoning capabilities.",2025-07-25,212383
3,nvidia,llama-3_2-nemoretriever-300m-embed-v1,https://build.nvidia.com/nvidia/llama-3_2-nemoretriever-300m-embed-v1,Free Endpoint,Text-to-Embedding; Retrieval Augmented Generation,NeMo Retriever,"Multilingual, cross-lingual embedding model for long-document QA retrieval, supporting 26 languages.",2025-07-24,663263
3,nvidia,nemoretriever-ocr,https://build.nvidia.com/nvidia/nemoretriever-ocr,Download Available,Optical Character Recognition,Table Extraction; nemo retriever; data ingestion; extraction,"Powerful OCR model for fast, accurate real-world image text extraction, layout, and structure analysis.",2025-07-24,6807
4,moonshotai,kimi-k2-instruct,https://build.nvidia.com/moonshotai/kimi-k2-instruct,Partner Endpoint; Free Endpoint,,coding; chat; advanced reasoning; agentic,"State-of-the-art open mixture-of-experts model with strong reasoning, coding, and agentic capabilities",2025-07-18,9971784
4,mistralai,magistral-small-2506,https://build.nvidia.com/mistralai/magistral-small-2506,Partner Endpoint; Free Endpoint,,coding; math; advanced reasoning; multilingual,High performance reasoning model optimized for efficiency and edge deployment,2025-07-10,1182402
4,meta,llama-guard-4-12b,https://build.nvidia.com/meta/llama-guard-4-12b,Partner Endpoint; Free Endpoint,,LLM Multimodal Safety; Content Safety; Guardrail; Content Moderator,Multi-modal model to classify safety for input prompts as well output responses.,2025-06-28,224437
4,nvidia,riva-translate-1.6b,https://build.nvidia.com/nvidia/riva-translate-1_6b,Download Available,Text Translation,Neural machine translation; NVIDIA NIM,Enable smooth global interactions in 36 languages.,2025-06-26,3015
4,google,gemma-3n-e4b-it,https://build.nvidia.com/google/gemma-3n-e4b-it,Partner Endpoint; Free Endpoint,,language generation; speech recognition; Visual QA; chat,"An edge computing AI model which accepts text, audio and image input, ideal for resource-constrained environments",2025-06-26,2106043
4,google,gemma-3n-e2b-it,https://build.nvidia.com/google/gemma-3n-e2b-it,Free Endpoint,,language generation; speech recognition; Visual QA; chat,"An edge computing AI model which accepts text, audio and image input, ideal for resource-constrained environments",2025-06-26,1546873
4,nvidia,llama-3.2-nemoretriever-500m-rerank-v2,https://build.nvidia.com/nvidia/llama-3_2-nemoretriever-500m-rerank-v2,Download Available,Retrieval Augmented Generation,nemo retriever; reranking,GPU-accelerated model optimized for providing a probability score that a given passage contains the information to answer a question.,2025-06-25,21409
4,nvidia,cosmos-transfer1-7b,https://build.nvidia.com/nvidia/cosmos-transfer1-7b,Free Endpoint,Synthetic Data Generation,Autonomous Vehicles; Physical AI; robotics; video-to-world,Generates physics-aware video world states for physical AI development using text prompts and multiple spatial control inputs derived from real-world data or simulation.,2025-06-13,220
4,nvidia,Background Noise Removal,https://build.nvidia.com/nvidia/bnr,Download Available,,Nvidia Maxine; Speech-to-speech; Digital Human; Speech Enhancement,Removes unwanted noises from audio improving speech intelligibility.,2025-06-12,462
4,mistralai,mistral-nemotron,https://build.nvidia.com/mistralai/mistral-nemotron,Free Endpoint,,language generation; instruction following; function calling,"Built for agentic workflows, this model excels in coding, instruction following, and function calling",2025-06-11,7361636
4,mit,Boltz-2,https://build.nvidia.com/mit/boltz2,Download Available,Drug Discovery,nim; Bionemo; Biology; Protein Folding,Predict complex structures using Boltz-2.,2025-06-07,210921
4,nvidia,llama-3.1-nemotron-nano-vl-8b-v1,https://build.nvidia.com/nvidia/llama-3.1-nemotron-nano-vl-8b-v1,Download Available,,doc intelligence; multiple image understanding; OCR,Multi-modal vision-language model that understands text/img and creates informative responses,2025-06-03,7126525
4,nvidia,magpie-tts-zeroshot,https://build.nvidia.com/nvidia/magpie-tts-zeroshot,Free Endpoint,Text-to-Speech,TTS; NVIDIA NIM; NVIDIA Riva,"Expressive and engaging text-to-speech, generated from a short audio sample.",2025-05-22,9144
4,black-forest-labs,FLUX.1-schnell,https://build.nvidia.com/black-forest-labs/flux_1-schnell,Partner Endpoint; Download Available,Text-to-Image; Image Generation,Run-on-RTX,"FLUX.1-schnell is a distilled image generation model, producing high quality images at fast speeds",2025-05-20,92849
4,mistralai,mistral-medium-3-instruct,https://build.nvidia.com/mistralai/mistral-medium-3-instruct,Free Endpoint,Image-to-Text,language generation; multimodal; visual question answering,"Powerful, multimodal language model designed for enterprise applications, including software development, data analysis, and reasoning.",2025-05-08,733218
4,nvidia,parakeet-1.1b-rnnt-multilingual-asr,https://build.nvidia.com/nvidia/parakeet-1_1b-rnnt-multilingual-asr,Download Available,Speech-to-Text,Automatic Speech Recognition; NVIDIA NIM; NVIDIA Riva,High accuracy and optimized performance for transcription in 25 languages,2025-04-30,20751
4,black-forest-labs,FLUX.1-dev,https://build.nvidia.com/black-forest-labs/flux_1-dev,Partner Endpoint; Download Available,Text-to-Image; Image Generation,Run-on-RTX,FLUX.1 is a state-of-the-art suite of image generation models,2025-04-09,69227
4,meta,llama-4-maverick-17b-128e-instruct,https://build.nvidia.com/meta/llama-4-maverick-17b-128e-instruct,Free Endpoint,Image-to-Text,language generation; vision assistant; visual question answering,"A general purpose multimodal, multilingual 128 MoE model with 17B parameters.",2025-04-06,18710382
4,nvidia,cosmos-predict1-5b,https://build.nvidia.com/nvidia/cosmos-predict1-5b,Free Endpoint,Synthetic Data Generation,Physical AI; policy evaluation; robotics; video-to-world,Generates future frames of a physics-aware world state based on simply an image or short video prompt for physical AI development.,2025-03-18,552
4,nvidia,sparsedrive,https://build.nvidia.com/nvidia/sparsedrive,Free Endpoint,,autonomous vehicles; bev; av stack; automotive,"End-to-end autonomous driving stack integrating perception, prediction, and planning with sparse scene representations for efficiency and safety.",2025-03-18,65
4,nvidia,bevformer,https://build.nvidia.com/nvidia/bevformer,Free Endpoint,,autonomous vehicles; bev; automotive; perception,Advanced transformer for multi-frame bird's-eye-view 3D perception in autonomous driving.,2025-03-18,122
4,nvidia,llama-3.3-nemotron-super-49b-v1,https://build.nvidia.com/nvidia/llama-3_3-nemotron-super-49b-v1,Download Available,,math; advanced reasoning; instruction following; function calling,"High efficiency model with leading accuracy for reasoning, tool calling, chat, and instruction following.",2025-03-18,3066417
4,nvidia,llama-3.1-nemotron-nano-8b-v1,https://build.nvidia.com/nvidia/llama-3_1-nemotron-nano-8b-v1,Download Available,,math; advanced reasoning; instruction following; function calling,Leading reasoning and agentic AI accuracy model for PC and edge.,2025-03-18,981098
4,nvidia,magpie-tts-multilingual,https://build.nvidia.com/nvidia/magpie-tts-multilingual,Download Available,Text-to-Speech,TTS; NVIDIA NIM; NVIDIA Riva; multilingual,Natural and expressive voices in multiple languages. For voice agents and brand ambassadors.,2025-03-18,91646
5,nvidia,nv-embedcode-7b-v1,https://build.nvidia.com/nvidia/nv-embedcode-7b-v1,Free Endpoint,Retrieval Augmented Generation,nemo retriever; Embedding,"The NV-EmbedCode model is a 7B Mistral-based embedding model optimized for code retrieval, supporting text, code, and hybrid queries.",2025-03-17,142763
5,nvidia,nemoretriever-table-structure-v1,https://build.nvidia.com/nvidia/nemoretriever-table-structure-v1,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents.",2025-03-17,21123
5,nvidia,nemoretriever-graphic-elements-v1,https://build.nvidia.com/nvidia/nemoretriever-graphic-elements-v1,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents.",2025-03-17,4026
5,nvidia,nemoretriever-page-elements-v2,https://build.nvidia.com/nvidia/nemoretriever-page-elements-v2,Download Available,Object Detection,Object Detection; Chart Detection; nemo retriever; Table Detection; data ingestion; run-on-rtx,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents.",2025-03-17,116527
5,colabfold,msa-search,https://build.nvidia.com/colabfold/msa-search,Download Available,Drug Discovery,nim; Bionemo; Biology; Protein Folding,Generates a multiple sequence alignment from a query sequence and a protein sequence database search.,2025-03-16,4786
5,openfold,openfold2,https://build.nvidia.com/openfold/openfold2,Download Available,Drug Discovery,nim; Bionemo; Biology; Protein Folding,"Predicts the 3D structure of a protein from its amino acid sequence, multiple sequence alignments, and templates.",2025-03-14,462
5,google,gemma-3-27b-it,https://build.nvidia.com/google/gemma-3-27b-it,Partner Endpoint; Free Endpoint,Image-to-Text,Vision Assistant; Visual Question Answering; Language Generation,Cutting-edge open multimodal model exceling in high-quality reasoning from images.,2025-03-13,3935434
5,nvidia,nemoretriever-parse,https://build.nvidia.com/nvidia/nemoretriever-parse,Download Available,,optical character recognition; nemo retriever; data ingestion; table extraction; supported language - english,Cutting-edge vision-language model exceling in retrieving text and metadata from images.,2025-03-06,127926
5,microsoft,phi-4-mini-instruct,https://build.nvidia.com/microsoft/phi-4-mini-instruct,Partner Endpoint; Download Available,Code Generation,Chat; Text-to-Text; Language Generation,"Lightweight multilingual LLM powering AI applications in latency bound, memory/compute constrained environments",2025-02-26,548708
5,microsoft,phi-4-multimodal-instruct,https://build.nvidia.com/microsoft/phi-4-multimodal-instruct,Partner Endpoint; Free Endpoint,Image-to-Text,Speech Recognition; Visual QA; Language Generation; Chart and Table Understanding,Cutting-edge open multimodal model exceling in high-quality reasoning from image and audio inputs.,2025-02-26,433137
5,arc,evo2-40b,https://build.nvidia.com/arc/evo2-40b,Download Available,Drug Discovery,DNA Generation; biology; nim; Bionemo,Evo 2 is a biological foundation model that is able to integrate information over long genomic sequences while retaining sensitivity to single-nucleotide changes.,2025-02-19,337754
5,openai,whisper-large-v3,https://build.nvidia.com/openai/whisper-large-v3,Download Available; Partner Endpoint,Speech-to-Text,ASR; AST; batch; Multilingual; NVIDIA Riva; whisper,Robust Speech Recognition via Large-Scale Weak Supervision.,2025-02-18,43280
